meas_type,element_type,value,std_dev,element
p,bus,4.6735153,0.1,0
q,bus,0.5383328,0.1,0
p,bus,1.4699461,0.1,1
q,bus,-0.1285782,0.1,1
p,bus,3.5548823,0.1,2
q,bus,-0.4984967,0.1,2
p,bus,0.4145268,0.1,3
q,bus,-0.5937662,0.1,3
p,bus,3.20333,0.1,4
q,bus,-0.6540117,0.1,4
p,bus,5.2455335,0.1,5
q,bus,0.5128289,0.1,5
p,bus,2.1257894,0.1,6
q,bus,-0.4834418,0.1,6
p,bus,1.5928955,0.1,7
q,bus,-1.6717834,0.1,7
p,bus,1.5633806,0.1,8
q,bus,-0.0884782,0.1,8
p,bus,2.3456721,0.1,9
q,bus,-0.51095,0.1,9
p,bus,0.7778898,0.1,10
q,bus,-0.4101358,0.1,10
p,bus,3.918942,0.1,11
q,bus,0.0844819,0.1,11
